timestamp_ms,frame_index,count,alert
00:00:000,0,299.642,
00:00:416,10,299.929,
00:00:833,20,299.142,
00:01:250,30,300.319,
00:01:666,40,297.230,
00:02:083,50,295.028,
00:02:500,60,293.375,
00:02:916,70,294.522,
00:03:333,80,296.169,
00:03:750,90,295.339,
00:04:166,100,298.059,
00:04:583,110,301.799,
00:05:000,120,219.234,
00:05:416,130,133.802,
00:05:833,140,0.000,lens_covered_or_extremely_dark
00:06:250,150,0.000,lens_covered_or_extremely_dark
00:06:666,160,0.000,lens_covered_or_extremely_dark
00:07:083,170,0.000,camera_frozen
00:07:500,180,0.000,camera_frozen
